Interval,Delta_EMD_mean,Weighted_performance,Total_difficulty,Bursty_better_genes,OT_better_genes,Alpha_mean_avg,Alpha_std_avg
0_6_12,0.15296768939999736,0.399006914157689,133.56715192235671,20,19,0.48648164,0.19990022
6_12_24,-0.04941532551072017,0.22864476926393137,89.11312509616101,18,20,0.45864677,0.20239988
12_24_36,-0.1755380162813615,-1.1592375739452232,66.93727282277554,14,26,0.3563539,0.23083387
24_36_48,-0.14789856919896824,-0.7732556253595986,54.54180158050757,16,24,0.38131654,0.24099018
36_48_60,-0.6151978050424681,-4.386821352569976,79.32680792261614,10,30,0.39359066,0.20193346
48_60_72,-0.5454949010122618,-8.665122893652363,67.93554036408318,15,24,0.47569185,0.26336685
60_72_96,5.415767591922386,103.8180210313726,752.0310954252527,23,15,0.5088192,0.2947544
