Gene,Alpha_mean,Alpha_std,Beta_mean,Beta_std,EMD_Bursty,EMD_OT,Delta_EMD,OT_difficulty
Pou5f1,0.4351375,0.44297203,0.5648625,0.44297203,0.00416005944738901,0.009336762528251892,0.005176703080862882,0.07692307692307693
Sox2,0.5113266,0.472608,0.4886734,0.472608,0.35672807682372026,0.5983803693023629,0.24165229247864267,0.21785513756316627
Esrrb,0.050474413,0.15287356,0.9495256,0.15287356,0.007106006178725253,0.004748338081671419,-0.002357668097053834,0.00735274457902195
Dppa3,0.18493477,0.21241336,0.81506526,0.21241336,0.0,0.0,0.0,0.0
Zfp42,0.98332375,0.10009403,0.016676247,0.10009403,0.05927182567016244,0.11131028152304666,0.05203845585288422,0.2755006550626987
Jarid2,0.9122802,0.2355517,0.0877198,0.2355517,0.20710409418509512,0.0601468665298447,-0.14695722765525043,1.4750942488168757
Klf2,0.16906588,0.3247292,0.8309341,0.3247292,0.02431940885284892,0.024111165955137587,-0.0002082428977113332,0.022084970990080884
Klf4,0.42812324,0.4404781,0.57187676,0.4404781,0.6601463287128837,0.2854827861920027,-0.374663542520881,1.1550760674848208
Nr0b1,0.029642284,0.06863663,0.9703577,0.06863663,0.0,0.0,0.0,0.0
Fgf4,0.92754316,0.12796313,0.07245684,0.12796313,0.0,0.0,0.0,0.0
Zic2,0.3780487,0.4160121,0.62195134,0.4160121,0.7747994807822394,0.7972246036075775,0.02242512282533815,0.2641373225314831
Zic3,0.97148967,0.1442033,0.028510332,0.1442033,0.20776057818891908,0.2270357958301211,0.01927521764120202,0.022191920002139792
Dppa2,0.82932615,0.34891826,0.17067385,0.34891826,0.4392490840324765,0.7930948484139984,0.3538457643815219,0.4659233710328599
Dppa4,0.5944731,0.4565689,0.40552688,0.4565689,0.10778250034117898,0.1490487447934247,0.04126624445224572,0.22710622710622697
Dnmt3a,0.73045653,0.3966211,0.26954347,0.3966211,0.10641110995524015,0.2587743226041079,0.1523632126488677,0.5360284484372072
Dnmt3b,0.47257745,0.46406224,0.52742255,0.46406224,0.46657869088695525,0.14001679959126628,-0.32656189129568897,0.10767091788989612
Fgf5,0.13781054,0.28244177,0.8621895,0.28244177,0.03934409141192522,0.023784122365682694,-0.015559969046242527,0.043982781209057756
Pou3f1,0.010616992,0.062561356,0.989383,0.062561356,0.045245793704133216,0.03503840525117121,-0.010207388452962006,0.02548060212293769
Cer1,0.0010836183,0.008132435,0.9989164,0.008132435,0.021442892562503316,0.010034436275571042,-0.011408456286932274,0.010828587470922836
Wnt8a,0.22937416,0.34368977,0.7706258,0.34368977,0.0008029315962187773,0.0008140008140008144,1.106921778203714e-05,0.007326007326007326
Cd24a,0.7064578,0.40440252,0.2935422,0.40440252,1.4146085790545602,1.4893995156406747,0.07479093658611458,3.5848506724418345
Sox1,0.38193047,0.39501333,0.6180695,0.39501333,0.40903554290606176,0.2504438036352896,-0.15859173927077214,0.1059597336969575
Hoxb2,0.73455775,0.337163,0.26544225,0.337163,0.4778443443075699,0.991668903725634,0.5138245594180642,0.8921419213390006
Meis1,0.7384497,0.34843537,0.2615503,0.34843537,0.386803341491484,0.36766598255959904,-0.01913735893188495,0.10780460415497006
Nes,0.154987,0.17612313,0.845013,0.17612313,0.08230060706820164,0.049964351382790796,-0.03233625568541084,0.23603646961310915
Ascl1,0.0011467822,0.010961386,0.9988532,0.010961386,0.009658904951954561,0.015887448511561812,0.006228543559607251,0.0145985401459852
Pax6,0.66387,0.39298588,0.33613002,0.39298588,0.14821890727502512,0.2081053698074948,0.05988646253246968,2.738456191010935
Sox11,0.17451353,0.3106037,0.8254865,0.3106037,0.3286734320428161,0.21100142305815947,-0.11767200898465666,0.46506777893638146
Hoxa1,0.463952,0.39048213,0.536048,0.39048213,0.05944719739185616,0.4553208808527973,0.39587368346094115,3.036630036630035
Sox9,0.05568225,0.15698692,0.94431776,0.15698692,0.08794041300604592,0.03416147813310949,-0.05377893487293643,0.1422689232908176
Cdh2,0.5872493,0.4497906,0.41275072,0.4497906,0.9671008011408581,1.5370009554406876,0.5699001542998295,0.3700970562284416
Pdgfra,0.20906377,0.36365628,0.79093623,0.36365628,2.9672650944129,1.1991822466999735,-1.7680828477129265,1.925857597390423
Fst,0.90486443,0.26135254,0.09513557,0.26135254,0.3215105781798363,3.1085972341291663,2.78708665594933,13.569075693163212
Sparc,0.9998788,0.0020672935,0.00012117624,0.0020672935,7.435285139760893,148.8853202746827,141.4500351349218,464.06959706959526
Col4a2,0.88323104,0.26614478,0.116768956,0.26614478,0.26043042023123913,16.424463033682834,16.164032613451596,47.644715381941516
Gata4,0.57893646,0.45854846,0.42106354,0.45854846,0.06387757391294979,0.2818763584720986,0.21799878455914878,0.538942809015797
Gata6,0.73672414,0.39438173,0.26327586,0.39438173,0.11697335546222036,1.621509538530826,1.5045361830686057,2.8908050586882603
Sox17,0.65498185,0.38775736,0.34501815,0.38775736,0.11767645395985249,0.6314438122948655,0.513767358335013,1.3907114783027004
Krt8,0.8913586,0.27259728,0.108641386,0.27259728,1.0843087415882418,1.4201208300498882,0.33581208846164645,4.05390230207741
Lamb1,0.81024104,0.35677436,0.18975896,0.35677436,18.438981755720313,78.21604736214661,59.7770656064263,194.38285072591535
Dab2,0.5424031,0.44717035,0.4575969,0.44717035,2.742449723142953,2.567551676062321,-0.17489804708063206,4.930162295125771
