Gene,Alpha_mean,Alpha_std,Beta_mean,Beta_std,EMD_Bursty,EMD_OT,Delta_EMD,OT_difficulty
Pou5f1,0.8271879,0.32366496,0.1728121,0.32366496,0.9514011163638807,0.35065638753240724,-0.6007447288314735,0.5225548902195607
Sox2,0.61545044,0.42394218,0.38454956,0.42394218,1.1613437774852684,1.1680291794778739,0.0066854019926054775,2.384630738522952
Esrrb,0.32361317,0.30205166,0.67638683,0.30205166,0.3957154789129832,0.2058291131609046,-0.1898863657520786,3.6863325979619708
Dppa3,0.0009067604,0.004992606,0.99909323,0.004992606,0.09645205843538462,0.09059504431181056,-0.005857014123574061,0.008561823720979135
Zfp42,0.8239851,0.32014027,0.1760149,0.32014027,3.4805848656100986,1.3011190992946635,-2.179465766315435,32.555310431768156
Jarid2,0.39170852,0.39246354,0.6082915,0.39246354,1.9197407353004046,1.7768169349490213,-0.1429238003513833,3.604275659207898
Klf2,0.19139642,0.2353019,0.8086036,0.2353019,0.09609007548213795,0.10109046241032253,0.00500038692818458,0.7847883181006402
Klf4,0.51801497,0.39075878,0.48198503,0.39075878,0.09671279020580634,0.09936245252306204,0.002649662317255705,3.971394053997268
Nr0b1,0.57901025,0.37591428,0.42098975,0.37591428,0.21201307040773215,0.3625859106529122,0.15057284024518003,1.5903456245403922
Fgf4,0.13487686,0.2341902,0.86512315,0.2341902,0.1716451373386171,0.17165777416048594,1.2636821868833303e-05,0.5917008089084987
Zic2,0.17328665,0.26827633,0.8267133,0.26827633,0.1828367976531349,0.06959968650147613,-0.11323711115165877,0.1846517491333105
Zic3,0.32235122,0.36223266,0.6776488,0.36223266,0.19701747092786778,0.14226502682823866,-0.05475244409962912,0.29368631158735153
Dppa2,0.031344783,0.14048845,0.9686552,0.14048845,0.8631004531792501,0.5158912099837094,-0.3472092431955407,0.7946422943586514
Dppa4,0.48870566,0.3629369,0.51129436,0.3629369,0.38427386065422425,0.1354517091698326,-0.24882215148439166,0.3596386175018363
Dnmt3a,0.46286207,0.45597458,0.5371379,0.45597458,1.004064096262173,0.5547371435461564,-0.4493269527160165,5.397279125958586
Dnmt3b,0.25370574,0.3776628,0.74629426,0.3776628,0.6006876669818377,0.6883425272804155,0.08765486029857772,3.6348460972791106
Fgf5,0.036787074,0.057039216,0.9632129,0.057039216,0.010849183642305936,0.014546783625730886,0.00369759998342495,0.013194663304969047
Pou3f1,0.034611892,0.08027377,0.9653881,0.08027377,0.3353040058630134,0.15073099415204394,-0.18457301171096946,0.17533354343943625
Cer1,0.00068665476,0.0036156103,0.99931335,0.0036156103,0.009357040130359866,0.0040204678362572395,-0.005336572294102626,0.004538291837377918
Wnt8a,0.0012111141,0.005564501,0.9987889,0.005564501,0.07865408515057283,0.023318713450291736,-0.05533537170028109,0.07330601953986736
Cd24a,0.38262087,0.42076936,0.6173791,0.42076936,0.02801168143779454,0.0777928498221499,0.04978116838435536,0.12092656791679768
Sox1,0.7082535,0.38516867,0.2917465,0.38516867,0.0433083212978008,0.03721287755471238,-0.006095443743088423,0.1719193192562239
Hoxb2,0.22524518,0.35123247,0.7747548,0.35123247,0.737836079285781,0.2031184059805836,-0.5347176733051974,1.4341317365269444
Meis1,0.32766947,0.3528251,0.6723305,0.3528251,0.0624347187227996,0.033848797250859014,-0.028585921471940584,0.16312637882130446
Nes,0.087254815,0.22260986,0.9127452,0.22260986,0.022179662675363983,0.022146108398142197,-3.3554277221785334e-05,0.060773190461182916
Ascl1,0.8138145,0.19871308,0.18618548,0.19871308,0.0,0.0,0.0,0.0
Pax6,0.6986054,0.38704267,0.30139458,0.38704267,0.15236955460780538,0.17155076264544475,0.01918120803763937,0.11194453198865384
Sox11,0.20285368,0.35602823,0.7971463,0.35602823,0.631572515152764,0.24428015916078044,-0.3872923559919836,0.2594390167034345
Hoxa1,0.023831869,0.05575429,0.97616816,0.05575429,0.18040082430574783,0.06213977813950794,-0.11826104616623989,0.5407815947053252
Sox9,0.0014988384,0.005725046,0.9985012,0.005725046,0.007310231911702613,0.028143274853800148,0.020833042942097535,0.07326399831915117
Cdh2,6.583863e-05,0.00075798464,0.99993414,0.00075798464,0.22286424832879767,0.2679055887140531,0.04504134038525545,0.04140140771089397
Pdgfra,0.8416481,0.1435669,0.1583519,0.1435669,0.009340839797532708,0.01673976608187068,0.007398926284337972,0.19161676646706383
Fst,0.87208474,0.28062436,0.12791526,0.28062436,0.010488545830913208,0.010304756737203468,-0.0001837890937097398,0.04065553104317681
Sparc,0.9868323,0.08992968,0.013167679,0.08992968,1.8269235408429338,0.9962824802555995,-0.8306410605873343,0.6416220191196551
Col4a2,0.00038702495,0.0048193526,0.999613,0.0048193526,0.02850569078967558,0.012717791041176442,-0.01578789974849914,0.020443323878558763
Gata4,0.40617824,0.28703403,0.59382176,0.28703403,0.0030106785091908723,0.002046783625730923,-0.0009638948834599492,0.00898203592814367
Gata6,0.199673,0.27093068,0.800327,0.27093068,0.9057247225595654,0.21585352987277157,-0.6898711926867938,1.6464229435864977
Sox17,0.81550056,0.19705765,0.18449944,0.19705765,0.007590153173944193,0.023171007415445217,0.015580854241501024,0.11976047904191581
Krt8,0.8022774,0.32755414,0.19772261,0.32755414,0.10796619360995795,0.12144224392596685,0.013476050316008903,0.04533039184788298
Lamb1,0.0001316881,0.0009802369,0.99986833,0.0009802369,0.5666620946353575,0.14567809127629877,-0.4209840033590588,0.5878033406870448
Dab2,0.0023807662,0.0075811585,0.9976192,0.0075811585,0.020242125626269248,0.006505847953216294,-0.013736277673052955,0.025916587876877617
