Gene,Alpha_mean,Alpha_std,Beta_mean,Beta_std,EMD_Bursty,EMD_OT,Delta_EMD,OT_difficulty
Pou5f1,0.8802807,0.27190545,0.11971933,0.27190545,0.8413312455568583,0.35235620816128455,-0.4889750373955738,4.81807812945536
Sox2,0.764653,0.36803424,0.23534697,0.36803424,0.43123455018242635,0.35378048055512035,-0.077454069627306,1.6692877980302991
Esrrb,0.058338996,0.13871133,0.941661,0.13871133,0.03704728822345627,0.0367554601987355,-0.00029182802472077496,0.26143317760084117
Dppa3,0.0027274794,0.00926034,0.9972725,0.00926034,0.0036013776113730522,0.002245508982035927,-0.001355868629337125,0.008982035928143652
Zfp42,0.9999384,0.0008212781,6.15716e-05,0.0008212781,2.254441200498816,0.35065991662883034,-1.9037812838699857,2.938891447873477
Jarid2,0.94995105,0.17191091,0.050048947,0.17191091,0.867674960204194,1.0846094363619525,0.21693447615775852,3.973382904520603
Klf2,0.47402242,0.41077867,0.5259776,0.41077867,0.04296812006746705,0.08910022914459881,0.04613210907713176,0.3185058454519518
Klf4,0.92471564,0.22822659,0.07528436,0.22822659,0.033762085363660356,0.06524563688507398,0.031483551521413626,0.15953806672369447
Nr0b1,0.049331095,0.13651383,0.95066893,0.13651383,0.009715011502779683,0.054640718562874314,0.04492570706009463,0.21856287425149595
Fgf4,0.020311378,0.06896346,0.97968864,0.06896346,0.009936306270973316,0.08383233532934115,0.07389602905836783,0.3353293413173645
Zic2,0.63944507,0.42267272,0.36055493,0.42267272,0.06772735409606338,0.17586735374017382,0.10813999964411043,0.1284793051260107
Zic3,0.7118256,0.39851543,0.2881744,0.39851543,0.0635489919798768,0.06934821692355336,0.005799224943676559,0.8938606303875731
Dppa2,0.8418379,0.31456006,0.15816212,0.31456006,0.3692556672215653,0.21085739171477103,-0.15839827550679425,5.298984448685028
Dppa4,0.42485744,0.41908142,0.57514256,0.41908142,0.03812765746736337,0.07301619684818074,0.03488853938081737,1.1068193283762031
Dnmt3a,0.57910174,0.42854118,0.42089826,0.42854118,0.2900508937196577,0.8751792443993187,0.585128350679661,6.857482836524723
Dnmt3b,0.8599631,0.295314,0.14003688,0.295314,0.8349202262798492,0.16057325781649917,-0.6743469684633501,3.98588537211289
Fgf5,0.05921556,0.10525173,0.94078445,0.10525173,0.04481213780705207,0.017215568862275467,-0.027596568944776606,0.030005922221491076
Pou3f1,0.045248583,0.09354246,0.95475143,0.09354246,0.36371968573539426,0.2305875613394125,-0.13313212439598177,0.17718409335175733
Cer1,0.0014888573,0.007400998,0.99851114,0.007400998,0.011155419882590138,0.009217350497560655,-0.0019380693850294829,0.026979009014937154
Wnt8a,0.050349165,0.08640493,0.9496508,0.08640493,0.024694720249119936,0.017871071935550608,-0.006823648313569328,0.06185431335131892
Cd24a,0.934975,0.21303745,0.06502497,0.21303745,1.5861083496206658,0.48991254854909083,-1.096195801071575,2.080289969511526
Sox1,0.52231634,0.32911018,0.47768366,0.32911018,0.6819791076072846,0.3547422303407548,-0.32723687726652984,0.4271786098133404
Hoxb2,0.34011194,0.38768744,0.659888,0.38768744,0.08852495600759323,0.16286875707069415,0.07434380106310091,0.11770963567370794
Meis1,0.0021510618,0.029157009,0.9978489,0.029157009,0.4769099908472758,0.05451484215684229,-0.42239514869043354,0.9032484481586275
Nes,0.08187629,0.1548558,0.9181237,0.1548558,0.1082353277726736,0.058509109938966776,-0.04972621783370682,0.3823890680178107
Ascl1,0.5308925,0.21676435,0.4691075,0.21676435,0.0036101083032489202,0.0036101083032489202,0.0,0.0
Pax6,0.29835388,0.37087914,0.7016461,0.37087914,1.1148441877479531,0.4711646202180388,-0.6436795675299143,2.3727270733258745
Sox11,0.48209664,0.4197256,0.5179033,0.4197256,0.22811171969570845,0.13127490506351672,-0.09683681463219174,0.7619924985194441
Hoxa1,0.8316555,0.29710442,0.1683445,0.29710442,0.2734339854198141,0.23317602160300074,-0.040257963816813375,0.7775109122414511
Sox9,0.07538372,0.18521707,0.9246163,0.18521707,0.01262344383471091,0.005925648702594804,-0.006697795132116106,0.012326994362922505
Cdh2,0.00012189406,0.0012090723,0.9998781,0.0012090723,1.0335824739294377,0.10219452791168536,-0.9313879460177523,2.3083393652255935
Pdgfra,0.25243407,0.36098766,0.7475659,0.36098766,0.28416431951580334,0.08372830151970413,-0.20043601799609922,0.3348687240902813
Fst,0.05212133,0.17382085,0.94787866,0.17382085,0.08949280231385089,0.023842657644998988,-0.0656501446688519,0.10157706564892201
Sparc,6.855537e-05,0.00072012044,0.99993145,0.00072012044,16.7846336272503,2.9820147610915604,-13.80261886615874,23.268934658156223
Col4a2,7.2589704e-05,0.0009606398,0.9999274,0.0009606398,2.2628826270336146,0.3596345215705758,-1.9032481054630388,3.3027351889627328
Gata4,0.0032850986,0.030368002,0.9967149,0.030368002,0.22845899221246113,0.06175149700598806,-0.16670749520647307,0.1602180254874865
Gata6,0.13918746,0.27324483,0.86081254,0.27324483,0.7944377642920974,0.15528352140484575,-0.6391542428872516,0.59085126450395
Sox17,0.05993323,0.14437102,0.94006675,0.14437102,0.3947465177755522,0.14760821317653552,-0.24713830459901667,0.28393761926696065
Krt8,0.999951,0.0007686267,4.8995018e-05,0.0007686267,0.6311504619242072,0.24620321631105588,-0.3849472456131513,0.6802110065583121
Lamb1,0.99996126,0.0005751153,3.874302e-05,0.0005751153,0.42041718746203943,0.24554478587950687,-0.17487240158253256,3.9167708538966015
Dab2,0.19266453,0.3122968,0.8073355,0.3122968,2.1269488202909144,0.3554477236861993,-1.771501096604715,3.273464060889211
