Gene,Alpha_mean,Alpha_std,Beta_mean,Beta_std,EMD_Bursty,EMD_OT,Delta_EMD,OT_difficulty
Pou5f1,0.776805,0.3420121,0.22319502,0.3420121,0.4937565401117442,0.611749867961666,0.11799332784992178,4.76036820623519
Sox2,0.2798864,0.3875716,0.72011364,0.3875716,0.8417151255397766,0.275417378301812,-0.5662977472379646,0.3967521431141109
Esrrb,0.17652968,0.2504138,0.82347035,0.2504138,0.0357786421533193,0.14568500456132372,0.10990636240800442,1.603719279963278
Dppa3,0.006218639,0.025771575,0.9937814,0.025771575,0.001958750434589426,0.017721858688122025,0.0157631082535326,0.11288101529643829
Zfp42,0.87796843,0.24110636,0.12203157,0.24110636,2.4177202700267544,0.7161291677812747,-1.7015911022454797,20.495577307181765
Jarid2,0.830716,0.3100013,0.16928399,0.3100013,1.9145055004731728,1.6497378953433148,-0.264767605129858,4.022677931197041
Klf2,0.12004498,0.24000561,0.87995505,0.24000561,0.17313192411692807,0.08021971520875674,-0.09291220890817133,0.7057079409976798
Klf4,0.31265122,0.40145707,0.6873488,0.40145707,0.10740305694095599,0.13975271107269963,0.032349654131743635,1.3402185914374678
Nr0b1,0.059979253,0.13008551,0.94002074,0.13008551,0.17389979381319207,0.08128073749408353,-0.09261905631910854,0.17869415807560143
Fgf4,0.35527557,0.387632,0.6447244,0.387632,0.08765204682225826,0.03814021441652757,-0.04951183240573069,1.0859106529209623
Zic2,0.2892436,0.39921913,0.7107564,0.39921913,0.2282794724073285,0.2999846526877478,0.07170518028041933,0.1765355366159266
Zic3,0.40096164,0.40170166,0.59903836,0.40170166,0.08218500657901724,0.11455225288255019,0.03236724630353295,0.41280533948664483
Dppa2,0.46391374,0.4313403,0.53608626,0.4313403,1.700902954899609,0.9322651946965077,-0.7686377602031014,2.780478122247444
Dppa4,0.6738154,0.417881,0.32618457,0.417881,0.5258414032168474,0.4153389955484169,-0.11050240766843045,0.30756634039227354
Dnmt3a,0.43400303,0.43480262,0.565997,0.43480262,3.7126527758236296,3.20434260345295,-0.5083101723706798,1.8592305879142
Dnmt3b,0.59237987,0.43594366,0.40762013,0.43594366,0.9384885799896396,1.0156684054571132,0.0771798254674736,1.0827223442133045
Fgf5,0.22640273,0.33892497,0.77359724,0.33892497,0.014544023104186675,0.011227116214306734,-0.0033169068898799402,0.002568015184785848
Pou3f1,0.20556232,0.32293972,0.79443765,0.32293972,0.07314204266429117,0.051322183811071447,-0.02181985885321972,0.7509025270757922
Cer1,0.9979067,0.0073417877,0.0020933151,0.0073417877,0.005890599437734413,0.00859106529209621,0.0027004658543617974,0.03610108303249057
Wnt8a,0.29569307,0.19228525,0.70430696,0.19228525,0.04686866294187518,0.04724142779732604,0.0003727648554508606,0.04693140794223455
Cd24a,0.07977128,0.21588281,0.9202287,0.21588281,1.743741660676226,0.36222100472594226,-1.3815206559502837,1.7521058965101923
Sox1,0.6499055,0.40562567,0.3500945,0.40562567,0.17184646660421363,0.11276030413399973,-0.05908616247021389,1.1693401317503282
Hoxb2,0.0015622515,0.013279398,0.99843776,0.013279398,0.1992185945859793,0.20825488198859887,0.00903628740261958,1.8091977123574636
Meis1,0.84388083,0.31684592,0.15611917,0.31684592,0.07542665135605227,0.030940695927732107,-0.044485955428320165,0.36743707122209757
Nes,0.6146702,0.40258586,0.38532978,0.40258586,0.02555941950232313,0.03897745745622149,0.01341803795389836,0.204250251218872
Ascl1,0.81118864,0.1385562,0.18881136,0.1385562,7.551412776132292e-06,0.0008591065292096219,0.0008515551164334896,0.003610108303248684
Pax6,0.41883188,0.40924135,0.5811681,0.40924135,0.05571874233204468,0.04791362292596929,-0.007805119406075388,0.048246430210774884
Sox11,0.0004023688,0.0048821294,0.9995976,0.0048821294,0.28638833501596406,0.08766530512857404,-0.19872302988739002,1.453422159365788
Hoxa1,0.4105318,0.40897322,0.58946824,0.40897322,0.17355279236361507,0.06914478602931551,-0.10440800633429956,0.43957720793476784
Sox9,0.06380302,0.07390445,0.936197,0.07390445,0.002837969836076088,0.0038402576290717276,0.0010022877929956398,0.003610108303248684
Cdh2,0.99969196,0.0037119165,0.0003080368,0.0037119165,0.21613866450118113,0.20778846087892908,-0.008350203622252056,0.14843624002877934
Pdgfra,0.072970316,0.1641105,0.92702967,0.1641105,0.08879385526730182,0.10389830305025577,0.015104447782953945,0.062066569900875466
Fst,0.0012057865,0.0052309902,0.9987942,0.0052309902,0.005659912362353447,0.003651202749140896,-0.002008709613212551,0.006525487860856169
Sparc,0.76011807,0.38321874,0.23988193,0.38321874,0.23925003502979375,0.08371701613954308,-0.15553301889025067,1.9539245971192687
Col4a2,8.69537e-05,0.0006360298,0.99991304,0.0006360298,0.16166631895294709,0.02747126022868365,-0.13419505872426343,0.27902043246862823
Gata4,0.92430633,0.11715674,0.07569367,0.11715674,0.008982035928143669,0.008982035928143669,0.0,0.0
Gata6,0.2021171,0.29534516,0.7978829,0.29534516,0.6895785224996758,1.030438693060598,0.3408601705609222,0.31276440011412715
Sox17,0.00392154,0.03140835,0.99607843,0.03140835,0.045198156314337934,0.06980754984875574,0.02460939353441781,0.025791804681973864
Krt8,0.39876857,0.3897613,0.60123146,0.3897613,0.5024143948109585,0.1736188276368224,-0.3287955671741361,0.5681888669718294
Lamb1,4.6995716e-05,0.00034747698,0.99995303,0.00034747698,0.4185125121709197,0.1810927114842459,-0.23741980068667382,1.572555733372995
Dab2,0.00023968074,0.0014552793,0.9997603,0.0014552793,0.10813594614992701,0.02169243986254292,-0.08644350628738409,0.2033818402868172
