Mode,Alpha_mean,Alpha_std,Beta_mean,Beta_std,Final_loss,Loss_improvement_vs_global
Per-gene,0.4887218911473344,0.0053840914602553734,0.5112781088526656,0.0053840914602553734,0.7337543368339539,98.99792124879943
Global,0.4875026345252991,0.0,0.5124973654747009,0.0,73.22322082519531,0.0
