Gene,Alpha_opt_per_gene,Beta_opt_per_gene,Alpha_opt_global,Beta_opt_global,EMD_Bursty,EMD_OT,Delta_EMD
Pou5f1,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,4.812925352549349,4.366787089288186,-0.44613826326116257
Sox2,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,4.415919936821946,3.5126364643214965,-0.9032834725004495
Esrrb,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.49305260325135475,0.5323954432783086,0.03934284002695382
Dppa3,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.07643844384304853,0.06424502927060932,-0.012193414572439207
Zfp42,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,25.703352694394187,15.98778545435285,-9.715567240041338
Jarid2,0.5124973654747009,0.4875026345252991,0.4875026345252991,0.5124973654747009,27.15212661047146,17.418348188386194,-9.733778422085265
Klf2,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,1.2772066425786803,1.7193396972733503,0.44213305469467
Klf4,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,1.2200708006109644,2.3615869416170003,1.141516141006036
Nr0b1,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,2.0646821093873524,1.9683930172457984,-0.09628909214155401
Fgf4,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.15686523253498352,0.2028743209746316,0.04600908843964807
Zic2,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.31873852428450467,0.3801750962501894,0.06143657196568475
Zic3,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,3.996226564109737,3.4433125889980536,-0.5529139751116836
Dppa2,0.5124974250793457,0.4875025749206543,0.4875026345252991,0.5124973654747009,5.787212904786014,4.982635409524649,-0.8045774952613653
Dppa4,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.3555088905995897,0.21592479299614126,-0.13958409760344842
Dnmt3a,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.2827900564104923,0.17123569431991464,-0.11155436209057767
Dnmt3b,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,1.0284469716015996,0.701120721480894,-0.3273262501207056
Fgf5,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.20593913628584556,0.21643109540636044,0.010491959120514871
Pou3f1,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.261135555753503,0.24104477611940298,-0.020090779634100026
Cer1,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.24378257753306923,0.2614840989399293,0.01770152140686007
Wnt8a,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.28068932945345765,0.2966404725489276,0.015951143095469966
Cd24a,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.1339251702476941,0.13869257950529912,0.004767409257605021
Sox1,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.3498741235143182,0.3728258003269869,0.022951676812668742
Hoxb2,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.38280940210914993,0.40429302251990923,0.021483620410759297
Meis1,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.3477295685085788,0.3710590158746901,0.02332944736611131
Nes,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.4449884697819073,0.4251252571066927,-0.019863212675214625
Ascl1,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.5676938566088924,0.5971731448763251,0.029479288267432735
